column_name,slice,precision,recall,f1-score
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Adm-clerical,0.6521739130434783,0.5454545454545454,0.594059405940594
occupation,Prof-specialty,0.7379134860050891,0.7988980716253443,0.7671957671957671
occupation,Handlers-cleaners,0.6666666666666666,0.23529411764705882,0.3478260869565218
occupation,Farming-fishing,0.5833333333333334,0.3333333333333333,0.4242424242424242
occupation,Protective-serv,0.7441860465116279,0.6808510638297872,0.711111111111111
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Husband,0.7294332723948812,0.6722830665543387,0.6996931170539238
relationship,Not-in-family,0.8055555555555556,0.3945578231292517,0.5296803652968037
relationship,Own-child,1.0,0.2857142857142857,0.4444444444444445
relationship,Unmarried,0.9130434782608695,0.4117647058823529,0.5675675675675675
relationship,Wife,0.6896551724137931,0.704225352112676,0.6968641114982579
relationship,Other-relative,1.0,0.2727272727272727,0.42857142857142855
race,White,0.7365813377374071,0.6371428571428571,0.6832631175794714
race,Black,0.7419354838709677,0.5542168674698795,0.6344827586206897
race,Asian-Pac-Islander,0.6666666666666666,0.6779661016949152,0.6722689075630253
race,Amer-Indian-Eskimo,0.8,0.8,0.8000000000000002
race,Other,0.6666666666666666,0.4,0.5
sex,Male,0.7320034692107545,0.6437833714721587,0.6850649350649352
sex,Female,0.7446808510638298,0.5809128630705395,0.6526806526806527
native-country,United-States,0.7374071015689513,0.6302046577275935,0.6796042617960426
native-country,Mexico,0.5,0.2,0.28571428571428575
native-country,El-Salvador,1.0,1.0,1.0
native-country,?,0.7,0.65625,0.6774193548387096
native-country,Cuba,1.0,0.8,0.888888888888889
native-country,Puerto-Rico,0.75,0.6,0.6666666666666665
native-country,Philippines,0.6363636363636364,0.5384615384615384,0.5833333333333334
native-country,Germany,0.5,0.2857142857142857,0.36363636363636365
native-country,Taiwan,0.8,1.0,0.888888888888889
native-country,South,0.0,0.0,0.0
native-country,Peru,0.0,0.0,0.0
native-country,Haiti,1.0,1.0,1.0
native-country,India,0.5833333333333334,0.875,0.7000000000000001
native-country,Poland,0.0,0.0,0.0
native-country,Canada,0.8333333333333334,0.625,0.7142857142857143
native-country,Italy,1.0,1.0,1.0
native-country,England,1.0,0.6,0.7499999999999999
native-country,Guatemala,1.0,1.0,1.0
native-country,China,1.0,1.0,1.0
native-country,Jamaica,0.0,1.0,0.0
native-country,Vietnam,1.0,1.0,1.0
native-country,Columbia,1.0,1.0,1.0
native-country,Laos,0.5,1.0,0.6666666666666666
native-country,Dominican-Republic,0.0,1.0,0.0
native-country,Ecuador,1.0,0.0,0.0
native-country,Nicaragua,1.0,1.0,1.0
native-country,Japan,0.875,1.0,0.9333333333333333
native-country,Portugal,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Cambodia,1.0,0.0,0.0
native-country,Greece,1.0,0.5,0.6666666666666666
native-country,Hong,0.5,0.5,0.5
native-country,Iran,0.6,1.0,0.7499999999999999
native-country,France,0.75,0.75,0.75
native-country,Scotland,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,Trinadad&Tobago,0.0,1.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Ireland,1.0,1.0,1.0
native-country,Yugoslavia,1.0,1.0,1.0
